"Gene_symbol"	"Entrez_ID"	"Value_count"	"hgnc_symbol"	"ensembl_gene_id"	"chromosome_name"
"201"	"WDR60"	55112	345	"DYNC2I1"	"ENSG00000126870"	"7"
"202"	"FCRL3"	115352	344	"FCRL3"	"ENSG00000160856"	"1"
"203"	"MADD"	8567	341	"MADD"	"ENSG00000110514"	"11"
"204"	"ANAPC13"	25847	341	"ANAPC13"	"ENSG00000129055"	"3"
"205"	"PCDHA10"	56139	337	"PCDHA10"	"ENSG00000250120"	"5"
"206"	"TDRD5"	163589	336	"TDRD5"	"ENSG00000162782"	"1"
"207"	"UBQLNL"	143630	336	"UBQLNL"	"ENSG00000175518"	"11"
"208"	"RSRC1"	51319	334	"RSRC1"	"ENSG00000174891"	"3"
"209"	"LOC100134868"	100134868	334	NA	NA	NA
"210"	"VN1R1"	57191	334	"VN1R1"	"ENSG00000178201"	"19"
"211"	"ZNF187"	7741	333	"ZSCAN26"	"ENSG00000197062"	"6"
"212"	"APIP"	51074	332	"APIP"	"ENSG00000149089"	"11"
"213"	"NSUN4"	387338	330	"NSUN4"	"ENSG00000117481"	"1"
"214"	"CCDC53"	51019	330	"WASHC3"	"ENSG00000120860"	"12"
"215"	"VWDE"	221806	328	"VWDE"	"ENSG00000146530"	"7"
"216"	"IQCH"	64799	327	"IQCH"	"ENSG00000103599"	"15"
"217"	"PIGP"	51227	327	"PIGP"	"ENSG00000185808"	"21"
"218"	"ZNF593"	51042	324	"ZNF593"	"ENSG00000142684"	"1"
"219"	"GNG10"	2790	324	"GNG10"	"ENSG00000242616"	"9"
"220"	"NUDT13"	25961	324	"NUDT13"	"ENSG00000166321"	"10"
"221"	"MCM3AP"	8888	324	"MCM3AP"	"ENSG00000160294"	"21"
"222"	"CILP2"	148113	323	"CILP2"	"ENSG00000160161"	"19"
"223"	"LYRM5"	144363	323	"ETFRF1"	"ENSG00000205707"	"12"
"224"	"POMZP3"	22932	322	"POMZP3"	"ENSG00000146707"	"7"
"225"	"ANKRD36B"	57730	322	"ANKRD36B"	"ENSG00000196912"	"2"
"226"	"C14orf33"	100129075	322	"KTN1-AS1"	"ENSG00000186615"	"14"
"227"	"MRPS30"	10884	321	"MRPS30"	"ENSG00000112996"	"5"
"228"	"INVS"	27130	320	"INVS"	"ENSG00000119509"	"9"
"229"	"SPPL2A"	84888	319	"SPPL2A"	"ENSG00000138600"	"15"
"230"	"ZNF404"	342908	318	"ZNF404"	"ENSG00000176222"	"19"
"231"	"ITPA"	3704	318	"ITPA"	"ENSG00000125877"	"20"
"232"	"STX17"	55014	318	"STX17"	"ENSG00000136874"	"9"
"233"	"UROS"	7390	317	"UROS"	"ENSG00000188690"	"10"
"234"	"FIGNL1"	63979	317	"FIGNL1"	"ENSG00000132436"	"7"
"235"	"LOC374443"	374443	317	""	"ENSG00000256594"	"12"
"236"	"ALDH8A1"	64577	316	"ALDH8A1"	"ENSG00000118514"	"6"
"237"	"MITD1"	129531	316	"MITD1"	"ENSG00000158411"	"2"
"238"	"AKR1C3"	8644	315	"AKR1C3"	"ENSG00000196139"	"10"
"239"	"C7orf44"	55744	315	"COA1"	"ENSG00000106603"	"7"
"240"	"C6orf163"	206412	315	"C6orf163"	"ENSG00000203872"	"6"
"241"	"C13orf38"	728591	314	"CCDC169"	"ENSG00000242715"	"13"
"242"	"ZNF738"	148203	313	"ZNF738"	"ENSG00000172687"	"19"
"243"	"ZNF257"	113835	313	"ZNF257"	"ENSG00000197134"	"19"
"244"	"PRPH2"	5961	312	"PRPH2"	"ENSG00000112619"	"6"
"245"	"ZNF493"	284443	311	"ZNF493"	"ENSG00000196268"	"19"
"246"	"TRMT61B"	55006	311	"TRMT61B"	"ENSG00000171103"	"2"
