"Gene_symbol"	"Entrez_ID"	"Value_count"	"ensembl_gene_id"	"entrezgene_id"	"chromosome_name"
"271"	"MCOLN2"	255231	298	"ENSG00000153898"	255231	"1"
"272"	"C5orf35"	133383	298	NA	NA	NA
"273"	"WDR87"	83889	297	"ENSG00000171804"	83889	"19"
"274"	"SIRPB1"	10326	297	"ENSG00000101307"	10326	"20"
"275"	"CCDC7"	221016	296	"ENSG00000216937"	79741	"10"
"276"	"ARPP19"	10776	295	"ENSG00000128989"	10776	"15"
"277"	"FAM119B"	25895	294	NA	NA	NA
"278"	"SPATA5L1"	79029	294	"ENSG00000171763"	79029	"15"
"279"	"XRCC6BP1"	91419	294	NA	NA	NA
"280"	"GTPBP10"	85865	294	"ENSG00000105793"	85865	"7"
"281"	"GTPBP10"	85865	294	"ENSG00000105793"	101927446	"7"
"282"	"IL20RB"	53833	293	"ENSG00000174564"	53833	"3"
"283"	"ADCK1"	57143	293	"ENSG00000063761"	57143	"14"
"284"	"NXPH1"	30010	292	"ENSG00000122584"	30010	"7"
"285"	"TSFM"	10102	291	"ENSG00000123297"	10102	"12"
"286"	"GGT7"	2686	291	"ENSG00000131067"	2686	"20"
"287"	"LRRC19"	64922	290	"ENSG00000184434"	64922	"9"
"288"	"SPINK5"	11005	290	"ENSG00000133710"	11005	"5"
"289"	"COX4I2"	84701	290	"ENSG00000131055"	84701	"20"
"290"	"ZMYND12"	84217	289	"ENSG00000066185"	84217	"1"
"291"	"ULK4"	54986	289	"ENSG00000168038"	54986	"3"
"292"	"P4HTM"	54681	288	"ENSG00000178467"	54681	"3"
"293"	"FRG1B"	284802	288	NA	NA	NA
"294"	"CEP63"	80254	288	"ENSG00000182923"	80254	"3"
"295"	"C11orf46"	120534	288	NA	NA	NA
"296"	"NEK11"	79858	286	"ENSG00000114670"	79858	"3"
"297"	"HAAO"	23498	285	"ENSG00000162882"	23498	"2"
"298"	"NCAPG"	64151	284	"ENSG00000109805"	64151	"4"
"299"	"CCDC152"	100129792	284	"ENSG00000198865"	100129792	"5"
"300"	"LOC388152"	388152	284	NA	NA	NA
"301"	"UQCC"	55245	283	NA	NA	NA
"302"	"ZSCAN12"	9753	282	"ENSG00000158691"	9753	"6"
"303"	"FAM162B"	221303	282	"ENSG00000183807"	221303	"6"
"304"	"DGCR10"	26222	281	NA	NA	NA
"305"	"IBSP"	3381	279	"ENSG00000029559"	3381	"4"
"306"	"MRPL35"	51318	279	"ENSG00000132313"	51318	"2"
"307"	"METT5D1"	196074	278	NA	NA	NA
"308"	"MAEL"	84944	277	"ENSG00000143194"	84944	"1"
"309"	"PBLD"	64081	276	"ENSG00000108187"	64081	"10"
"310"	"FAM160A1"	729830	276	"ENSG00000164142"	729830	"4"
"311"	"TMEM180"	79847	275	NA	NA	NA
"312"	"AKR1E2"	83592	275	"ENSG00000165568"	83592	"10"
"313"	"C2orf63"	130162	274	NA	NA	NA
"314"	"ZNF208"	7757	274	"ENSG00000160321"	7757	"19"
"315"	"C9orf44"	158314	271	NA	NA	NA
"316"	"GRK4"	2868	271	"ENSG00000125388"	2868	"4"
"317"	"ZNF682"	91120	271	"ENSG00000197124"	91120	"19"
"318"	"CHPT1"	56994	271	"ENSG00000111666"	56994	"12"
"319"	"ALS2CR12"	130540	271	NA	NA	NA
"320"	"NCKIPSD"	51517	270	"ENSG00000213672"	51517	"3"
"321"	"TIMD4"	91937	268	"ENSG00000145850"	91937	"5"
"322"	"CENPC1"	1060	268	NA	NA	NA
"323"	"ADH1C"	126	268	"ENSG00000248144"	126	"4"
"324"	"FBXO30"	84085	267	"ENSG00000118496"	84085	"6"
"325"	"LEKR1"	389170	267	"ENSG00000197980"	389170	"3"
"326"	"LOC338651"	338651	267	NA	NA	NA
"327"	"FAM71F2"	346653	267	"ENSG00000205085"	346653	"7"
"328"	"TRIM4"	89122	264	"ENSG00000146833"	89122	"7"
"329"	"SLC41A3"	54946	264	"ENSG00000114544"	54946	"3"
"330"	"TTC32"	130502	264	"ENSG00000183891"	130502	"2"
"331"	"LOC253724"	253724	264	NA	NA	NA
"332"	"KLRAQ1"	129285	264	NA	NA	NA
"333"	"GCC2"	9648	263	"ENSG00000135968"	9648	"2"
"334"	"PI4KAP2"	375133	263	"ENSG00000183506"	NA	"22"
"335"	"VCAM1"	7412	263	"ENSG00000162692"	7412	"1"
"336"	"AKAP3"	10566	261	"ENSG00000111254"	10566	"12"
"337"	"PROCR"	10544	261	"ENSG00000101000"	10544	"20"
"338"	"LOC100270746"	100270746	261	NA	NA	NA
"339"	"KRTCAP3"	200634	261	"ENSG00000157992"	200634	"2"
"340"	"CPA5"	93979	261	"ENSG00000158525"	93979	"7"
"341"	"KATNAL2"	83473	260	"ENSG00000167216"	83473	"18"
"342"	"ATP6AP1L"	92270	260	"ENSG00000205464"	92270	"5"
"343"	"PPP6C"	5537	260	"ENSG00000119414"	5537	"9"
"344"	"TDGF1"	6997	259	"ENSG00000241186"	6997	"3"
"345"	"ZNF709"	163051	258	"ENSG00000242852"	163051	"19"
"346"	"C2orf84"	653140	257	NA	NA	NA
"347"	"ZNF561"	93134	257	"ENSG00000171469"	93134	"19"
"348"	"FAM154B"	283726	256	NA	NA	NA
"349"	"AKD1"	221264	256	NA	NA	NA
"350"	"ALOX5"	240	255	"ENSG00000012779"	240	"10"
"351"	"MRPL39"	54148	255	"ENSG00000154719"	54148	"21"
"352"	"SFTA3"	253970	254	"ENSG00000229415"	NA	"14"
"353"	"GABRA2"	2555	254	"ENSG00000151834"	2555	"4"
"354"	"ALG1L"	200810	254	"ENSG00000189366"	200810	"3"
"355"	"ERP27"	121506	254	"ENSG00000139055"	121506	"12"
"356"	"ZNF389"	651302	254	NA	NA	NA
"357"	"ST8SIA4"	7903	254	"ENSG00000113532"	7903	"5"
"358"	"KIAA1586"	57691	253	"ENSG00000168116"	57691	"6"
"359"	"SPINK6"	404203	253	"ENSG00000178172"	404203	"5"
"360"	"TCP11L1"	55346	253	"ENSG00000176148"	55346	"11"
"361"	"ZNF786"	136051	252	"ENSG00000197362"	136051	"7"
"362"	"ALDH5A1"	7915	252	"ENSG00000112294"	7915	"6"
"363"	"GPLD1"	2822	252	"ENSG00000112293"	2822	"6"
"364"	"GALC"	2581	251	"ENSG00000054983"	2581	"14"
