Gene_symbol	TANK	RBCK1	CASC4	DUT	TMEM201	FBLN2	ABLIM3	MPRIP	MCF2L	EHBP1	COMMD5	GSN	GSPT1	PRMT2	INHBA	INSR	ISLR	LSP1	ATXN3	MYL6	SERPINA1	PPP2R1B	TMEM126B	ENY2	BMP1	SNRNP70	SOX15	DST	C12orf73	ZNF207	ADAMTS12	PCGF5	REPS1	CCND3	LRRFIP2	ZRANB2	H2AFV	CEP104	SLK	Cancer
Gene_ensembl_id	ENSG00000136560	ENSG00000125826	ENSG00000166734	ENSG00000128951	ENSG00000188807	ENSG00000163520	ENSG00000173210	ENSG00000133030	ENSG00000126217	ENSG00000115504	ENSG00000170619	ENSG00000148180	ENSG00000103342	ENSG00000160310	ENSG00000122641	ENSG00000171105	ENSG00000129009	ENSG00000130592	ENSG00000066427	ENSG00000092841	ENSG00000197249	ENSG00000137713	ENSG00000171204	ENSG00000120533	ENSG00000168487	ENSG00000104852	ENSG00000129194	ENSG00000151914	ENSG00000204954	ENSG00000010244	ENSG00000151388	ENSG00000180628	ENSG00000135597	ENSG00000112576	ENSG00000093167	ENSG00000132485	ENSG00000105968	ENSG00000116198	ENSG00000065613	Cancer
TCGA-E9-A1NF	7.61001666827	14.4403840273	20.6996795551	8.7174985165	1.83089905294	237.175115397	22.5975085601	17.7344157821	3.09832570349	19.7694806482	5.52911580697	550.913407948	18.3201212436	10.9125596394	0.728960387291	12.484579106	109.703815313	21.3983875619	1.20732251207	173.518989323	1.75398141513	24.7808037677	11.1182341374	6.02593879608	7.78292517786	21.9581786935	0.259799558319	11.3574296096	0.886713442681	6.75451192932	4.80410424826	9.23608237502	2.70220427026	11.115935694	3.78098643989	14.8032129724	22.2758511705	5.84565499334	19.7720195229	0
TCGA-BH-A18J	20.4469512204	17.759713769	15.3264048798	10.6977627868	3.08219623201	69.1269142368	13.43714777	16.8609864244	3.00203201324	7.52658432758	6.19711531646	230.79618053	25.3256554863	13.9169199903	0.88933427343	17.7680500924	37.0447555415	11.6345159558	1.50060662719	167.72656629	20.0446656867	11.1792925569	8.17074157281	6.67405199334	4.14749687721	45.9280990979	0.863608701773	41.1200317127	1.88418349204	8.41183546128	1.44269816936	9.34106246688	5.11889772426	16.75186046	4.69488245999	20.221300604	26.4632267826	6.37586500202	17.4989444242	0
TCGA-BH-A1FB	24.3249041939	16.3058409467	23.915863831	11.6974470595	3.1142711492	31.3368160412	8.2404809592	14.0498196743	2.37225548488	7.06713114212	6.83947341021	118.346225459	22.1345045647	15.9273259418	0.925793355151	12.2207117114	53.9536608214	9.86600284273	2.06818209829	146.643496425	7.88793806875	9.41100019594	11.8655167121	6.93915081369	2.56347820872	40.6859919569	2.04254952959	25.2196134461	2.58856410532	10.841452653	1.08208975925	13.6772239969	5.79707811587	20.5898557302	4.79055007203	28.0283902218	34.5158348251	8.06351625996	20.4165969979	0
TCGA-BH-A0BW	23.9438217625	17.2281616805	18.6165345289	12.8511322021	3.02507867638	57.7673261711	4.53417196437	14.5090274721	1.87874383845	7.13433177537	6.38652269128	79.6839077036	19.4688009977	16.0223880936	5.70904409169	18.1547912081	61.9568888343	35.402957854	1.58681966692	106.840800927	17.9594144577	6.14741551115	10.2980280533	6.98180456638	4.7527781064	45.5928765513	0.687037590312	25.5679424831	2.4266391991	12.3904176424	1.26183446663	10.6237238886	5.07624107648	14.5735045623	5.28704452006	28.6297266564	26.4436859084	5.63030552967	15.353053636	0
TCGA-E9-A1RC	8.88726930733	14.3393098257	17.3147370861	8.23799635516	1.25279391836	198.126577673	28.6581680689	15.7345435821	2.64686973874	29.3891460488	3.9579870007	511.239063661	17.3147681845	11.2014471008	0.430846673207	12.2880203375	51.1102771075	11.9877272063	1.02093864335	208.120834104	2.28140366185	36.4469965551	12.6987256922	6.24426620756	5.13623036391	14.7478129777	0.276866642982	8.0133862722	1.59940023577	5.10408845316	5.69355245658	7.14930544902	2.16243555294	7.62092548639	3.88933897278	13.0013362077	24.58629037	5.27101111293	16.5104475617	0
TCGA-BH-A1FH	20.9862722962	16.9288151226	27.2689365429	13.7783819417	2.40850419256	127.634491557	9.13207107138	11.6560278402	1.9404223328	11.6680544726	5.98273375386	241.480681098	18.0909417007	14.0842562411	1.75772316699	7.95310707044	88.1109382449	17.8873372597	1.35881788287	188.433415195	11.6182182911	9.55684738762	13.2511267977	9.21612234093	3.59892283822	17.3185334648	1.90570332021	24.4250630776	1.98261015851	9.44818940886	1.19888362098	12.1689202949	5.11406877797	17.1427577115	5.33483723454	15.2198760125	33.0529425902	5.95362318231	19.452588467	0
TCGA-BH-A0BJ	30.1843194864	16.5108943325	19.0243713064	9.01813450683	3.01587252426	27.7754815692	6.51896763939	13.6212671918	2.46545561763	9.19062319597	5.67922971856	111.587870013	21.2952776349	16.9902876745	0.800973359986	16.617999094	78.4509630228	14.1850806953	1.22229353239	146.555636252	10.4867414643	4.92467696308	7.69998131717	7.0581572929	3.71819596954	26.0827731444	1.73717848464	31.2836930546	3.22055085347	8.5880659644	3.29921190321	7.55294083986	6.59815438392	9.80957922998	5.07014353104	15.6299094041	27.0043035885	5.83728143678	18.2380866077	0
TCGA-BH-A1F0	20.395828018	17.5767186888	24.1532828474	13.0614992559	2.20937424831	70.9579092606	19.9004556649	13.1336842203	2.67470314167	13.2363523423	5.68162583323	256.547432468	19.6813967362	13.7671251667	0.904831364301	11.5749325029	59.7452794249	12.8343132041	1.5098523333	187.75136831	4.09905043643	10.8310324005	13.3524436899	7.95077663518	3.33789307621	24.1607091802	0.986855833497	23.6788980953	2.05574895749	8.17877275819	1.70503879635	11.4363386204	4.85545658246	18.9687809837	4.95559154215	19.786118702	29.0633133603	6.2002039754	17.69568695	0
TCGA-BH-A18S	19.0696000067	12.6570650075	17.8144111753	10.5825032327	2.28029189037	59.1640851858	16.9013420149	12.5010343379	3.14182907718	11.598755056	6.04703391086	158.864015888	19.9320063868	13.1639581286	1.12497074192	11.71076945	38.4741630254	24.0458553728	1.28775809618	201.089128492	13.1594751856	15.74241244	10.4258937626	7.21264594891	3.47972664558	39.0385582171	1.43831519626	24.6962934927	2.1551741304	9.00829786532	1.90313888774	8.21671034588	4.94604501533	15.9769287988	5.11474998212	23.2266773331	26.0341126792	5.75146882621	17.8849135245	0
TCGA-BH-A18Q	15.2341301696	14.5029573737	23.2121248904	11.2784270246	3.04627565001	25.0480041009	7.63031294962	16.5233507397	2.80708996824	10.7281968414	6.11872177054	148.988184914	22.4911221863	15.5843300761	1.38265121804	12.4108787966	55.2490039823	7.7766027801	1.82966197418	132.862514825	5.66630733872	8.12203475294	10.9904354712	7.37836031362	2.83826425496	42.5146987135	1.93377452553	64.7031641511	1.84904203811	11.3494038476	1.59918975154	15.4403429917	6.28533216802	14.962176491	6.0339806449	30.4380680424	32.2067124331	6.16723319763	23.6832444486	0
