Gene_symbol	CTTN	FBLN2	FLNA	ARHGEF9	SLC39A14	ATP6V1C2	ISLR	MYH11	SRI	UGP2	IL1R2	HKDC1	CD44	Cancer
Gene_ensembl_id	ENSG00000085733	ENSG00000163520	ENSG00000196924	ENSG00000131089	ENSG00000104635	ENSG00000143882	ENSG00000129009	ENSG00000133392	ENSG00000075142	ENSG00000169764	ENSG00000115590	ENSG00000156510	ENSG00000026508	Cancer
Sample_ID														
TCGA-AA-3692-01A-01R-0905-07	20.7882922039	2.26072560447	25.464695818800006	3.00895246519	19.03913999	5.2624904736	15.8719797319	3.53108548749	74.4412210334	13.905739099100002	5.245408003780001	5.29521899205	54.972411995200005	1
TCGA-A6-3810-01B-04R-A277-07	18.6425720134	1.70469468214	31.036351281199998	4.65019093931	16.9177210677	2.19695022586	3.05240455777	31.3415801666	12.9265917231	21.470491728699997	1.43234781162	10.0999491707	32.7155176173	1
TCGA-4T-AA8H-01A-11R-A41B-07	43.463170285699995	0.466215125783	28.008240749499997	3.48800952805	28.404955976500002	9.166795708250001	1.3789736661899998	3.46851048065	82.3388409967	15.7495893534	6.1672427977	10.393480141900001	40.5057369056	1
TCGA-AA-A01Q-01A-01R-A002-07	40.5217234563	0.999049215413	16.3400341678	2.87900737547	13.959193405499999	1.1375212540700002	10.1924629987	0.301185851796	42.3255017133	13.073620718099999	7.76930559553	5.78335295251	47.6943583844	1
TCGA-AA-3979-01A-01R-1022-07	36.1920227897	1.87497151267	16.4422655368	1.26003854016	24.284478700799998	3.90860487464	4.492603025909999	0.265511578372	28.9814395391	16.8431332398	1.05696409073	32.4436459506	33.3281080282	1
TCGA-A6-A565-01A-31R-A28H-07	51.6922027108	6.55719957146	63.3083129385	3.4113332131800003	23.3433928611	0.914241731693	23.6991626876	6.8039217799800005	56.4481958342	33.486422608000005	5.71782936844	18.039495236900002	23.2141704157	1
TCGA-A6-5667-01A-21R-1723-07	54.8718967787	7.818937420810001	134.23058375	3.13521354054	23.9565501965	2.77566515515	29.606754948899997	94.1211476344	64.0581468706	15.326033021099999	0.957180493038	19.5116887938	35.3494312675	1
TCGA-CM-6172-01A-11R-1653-07	25.661586741700006	6.1233132156800005	31.034555591300002	3.80697748046	23.0492547789	4.71468002753	21.7854420329	5.29265514594	74.4345731329	30.9639866055	8.89442316317	12.840645127	28.7151809388	1
TCGA-AZ-6600-01A-11R-1774-07	45.2645624136	15.4684317288	110.42797637299999	3.62646503027	15.889852146600001	2.80058076924	50.0987951383	13.692101516	27.3351017814	13.5141776454	3.33986779261	25.8037978554	38.489454744	1
TCGA-F4-6463-01A-11R-1723-07	29.080864144299998	9.55294709636	100.380868604	2.17607716741	13.376516286800001	0.810980789846	33.393698886100005	39.3497793604	24.1878448223	12.8444689075	0.454000344202	13.9524854807	41.6123719136	1
